alg_name,ins,ins_set,score
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80,MSE23-w,0.0
ecdf-multi-4,MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,MSE23-w,0.7602218642757141
ecdf-multi-4,railway-transport-bf2030fvslack,MSE23-w,0.0
ecdf-multi-4,setcover-rail2536,MSE23-w,0.0
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66,MSE23-w,0.0
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000454,MSE23-w,0.975836549935704
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,0.958740953238507
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00051-00000011,MSE23-w,0.9788532644541424
ecdf-multi-4,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,0.0
ecdf-multi-4,mpe-random-net-50-5_network-8.net,MSE23-w,0.9999871084182029
ecdf-multi-4,causal-discovery-causal_Mushroom_7_1000,MSE23-w,0.8753568633193014
ecdf-multi-4,shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted,MSE23-w,0.0
ecdf-multi-4,relational-inference-pa-3,MSE23-w,0.2288817129215671
ecdf-multi-4,ramsey-ram_k4_n19.ra1,MSE23-w,0.7029791709021115
ecdf-multi-4,causal-discovery-causal_Link_9_100,MSE23-w,0.5935430024415611
ecdf-multi-4,tcp-tcp_students_112_it_2,MSE23-w,0.9789087090529591
ecdf-multi-4,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,0.952451475474153
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,0.9818544020807105
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000300,MSE23-w,0.9787893374777704
ecdf-multi-4,staff-scheduling-instance5,MSE23-w,0.9685737835301008
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted,MSE23-w,0.0
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted,MSE23-w,0.0
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,MSE23-w,0.8928027912861551
ecdf-multi-4,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,0.9360494354176876
ecdf-multi-4,timetabling-comp02,MSE23-w,0.4123144338831491
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,0.9658609500477677
ecdf-multi-4,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9976339519179337
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,0.9726823187323198
ecdf-multi-4,MinimumWeightDominatingSetProblem-inf-road-usa,MSE23-w,0.9998229035576676
ecdf-multi-4,causal-discovery-causal_Pigs_6_1000,MSE23-w,0.5186824337015743
ecdf-multi-4,spot5-1405.wcsp.dir,MSE23-w,0.99861779462214
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000334,MSE23-w,0.9787929695466373
ecdf-multi-4,generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9989275966620956
ecdf-multi-4,timetabling-comp12,MSE23-w,0.5055579357391247
ecdf-multi-4,setcover-rail4284,MSE23-w,0.0
ecdf-multi-4,shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,MSE23-w,0.0
ecdf-multi-4,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,0.9995907890313539
ecdf-multi-4,abstraction-refinement-polysite-hsqldb,MSE23-w,0.9998515605666108
ecdf-multi-4,generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,MSE23-w,0.9992581868641489
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,MSE23-w,0.9982874956695371
