ins,min
AMAZON,48829.0
DBLP,52708.0
GenHyperTW_aim-50-1_6-no-3,10.0
GenHyperTW_aim-50-1_6-yes1-3,10.0
GenHyperTW_aim-50-3_4-yes1-3,14.0
GenHyperTW_b01,5.0
GenHyperTW_flat30-50,13.0
GenHyperTW_flat30-99,17.0
GenHyperTW_hole6,7.0
GenHyperTW_hole8,9.0
GenHyperTW_hole9,10.0
GenHyperTW_par8-4-c,7.0
GenHyperTW_par8-5-c,8.0
GenHyperTW_s208,7.0
GenHyperTW_uf20-050,6.0
GreeceWesternGreeceUniversityInstance4.xml,147.0
MLI.ionosphere_train_1_DNF_4_1,23.0
MLI.twitter_train_1_CNF_4_1,1711.0
MinFill_R0_mulsol.i.5,255.0
MinFill_R0_myciel5,196.0
MinFill_R0_myciel7,3739.0
MinFill_R0_queen11_11,4373.0
MinFill_R0_queen6_6,231.0
MinFill_R0_queen7_7,500.0
MinFill_R3_miles750,1358.0
MinFill_R4_miles500,939.0
Q12_OPTIONS_1,
Q6_YESNO_1,
TWComp_myciel5_N47,19.0
TWComp_queen5_5_N25,18.0
YOUTUBE,88350.0
ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,120.0
aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,73.0
australian,484.0
bip.maxcut-140-630-0.7-13,169.0
bip.maxcut-140-630-0.7-37,170.0
bip.maxcut-140-630-0.7-42,161.0
bip.maxcut-140-630-0.7-44,163.0
bip.maxcut-140-630-0.8-24,165.0
bre-res-str.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,38.0
bupa,298.0
car.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,193.0
car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,193.0
cellda_x_10,
cellda_x_12,
cellda_y_10,
cleveland,503.0
cnf_10,109.0
cnf_12,105.0
cnf_small,43.0
colic,204.0
cra-scp.scpclr13_maxsat,23.0
cra-scp.scpcyc10_maxsat,1796.0
d4,4815.0
data.135,103.0
data.243,198.0
data.405,335.0
data.729,617.0
dim.MANN_a9.clq,422.0
dim.brock400_3.clq,238.0
dim.brock400_4.clq,249.0
dim.hamming10-4.clq,319.0
dim.hamming8-2.clq,441.0
ecoli,610.0
extension-enforcement_non-strict_stb_150_0.1_2_8_2,8.0
extension-enforcement_non-strict_stb_200_0.05_1_10_0,7.0
extension-enforcement_non-strict_stb_200_0.05_1_10_1,10.0
extension-enforcement_non-strict_stb_200_0.05_3_10_0,9.0
extension-enforcement_non-strict_stb_200_0.05_4_10_4,7.0
extension-enforcement_non-strict_stb_200_0.1_2_10_1,8.0
gen_add_4_carry_33,188.0
gen_mult_4_5_9999,195.0
gen_mult_4_6_991,135.0
gen_mult_4_7_991,140.0
gen_mult_5_5_399,2294.0
gen_mult_5_5_991,232.0
hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,50.0
hyp.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,102.0
indo,
lam.20-100-frag12-0,42.0
lam.20-100-frag12-45,44.0
lam.20-100-frag12-56,44.0
lam.20-100-frag12-79,45.0
lam.20-100-lambda100-53,72.0
lam.20-100-lambda100-59,74.0
lam.20-100-lambda100-89,75.0
lam.20-100-lambda100-95,76.0
lam.20-100-p100-55,77.0
lam.20-100-p100-72,71.0
lam.20-100-p100-86,76.0
lam.20-100-p100-97,75.0
liver-disorder,301.0
lym.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree,22.0
max.uaq-max-np-nr200-np700-rpp5-nc50-n8-t3-plb10-n5,5.0
max.uaq-max-nr-nr160-np400-rpp5-nc50-n8-t3-plb10-n7,4.0
max.uaq-max-nr-nr70-np400-rpp5-nc50-n8-t3-plb10-n7,62.0
meltdown_min,
mes.atcoss_mesat_04,
mes.atcoss_mesat_05,
mes.atcoss_mesat_10,
ms_100_20_20-0,
ms_100_40_10-0,
ms_150_10_40-0,138.0
ms_200_10_40-0,175.0
ms_200_20_12-1,92.0
ms_200_20_20-8,
ms_200_22_20-0,94.0
ms_200_22_20-3,
ms_200_6_20-0,159.0
ms_250_20_20-0,124.0
mul_8_11,64.0
mul_8_13,60.0
mul_8_14,56.0
mul_8_9,42.0
mus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,321.0
navigation_5x5_10,
navigation_5x5_8,
navigation_5x5_9,
normalized-test4.pi.opb.msat,94.0
pesp_18Min,281.0
pesp_5min,69.0
pri.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,51.0
ram_k3_n19.ra0,75.0
ram_k4_n18.ra0,9.0
ran-scp.scp43_maxsat,38.0
ran-scp.scp47_maxsat,38.0
ran-scp.scp48_maxsat,37.0
ran-scp.scp510_maxsat,34.0
ran-scp.scp58_maxsat,34.0
ran-scp.scp59_maxsat,35.0
ran-scp.scp61_maxsat,21.0
ran-scp.scp65_maxsat,21.0
ran-scp.scpnre1_maxsat,18.0
ran-scp.scpnrf4_maxsat,11.0
ran-scp.scpnrf5_maxsat,11.0
ran-scp.scpnrg1_maxsat,62.0
ran-scp.scpnrh1_maxsat,38.0
ran-scp.scpnrh5_maxsat,38.0
ran.max_cut_60_600_4.asc,213.0
ran.max_cut_60_600_9.asc,218.0
rev66-14,44.0
rev66-16,
rev66-20,
rsdecoder-problem.dimacs_41.filtered,2.0
rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered,23.0
sbox_8,348.0
soy.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree,44.0
spectre_min,
spl.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree,469.0
str.p_hat1000-1.clq,990.0
str.p_hat700-3.clq,638.0
sug.atcoss_sugar_04,
sug.atcoss_sugar_05,
sug.atcoss_sugar_10,60.0
sug.atcoss_sugar_15,
sug.atcoss_sugar_18,
sysadmin_4_4,
sysadmin_5_3,
sysadmin_5_4,
tic.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree,218.0
uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr14-plb100,68.0
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr10-plb100,67.0
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr7-plb100,67.0
unw.MultiDay_2,116387.0
unw.MultiDay_3,153036.0
unw.MultiDay_4,187871.0
unw.SingleDay_15,25426.0
unw.SingleDay_3,9447.0
unw.SingleDay_37,82361.0
unw.Subnetwork_7,6393.0
unw.Subnetwork_9,7902.0
wb_4m8s-problem.dimacs_47.filtered,33.0
wcn.heart_train_6_DNF_3_1,42.0
wcn.ionosphere_train_8_CNF_4_1,20.0
